"id","external_key","skill_name","is_language"
867,"ESBBBBACBA39B30028C8","Afrikaans Language",True
1021,"ES33595A31E4D47C9F2A","Albanian Language",True
1213,"KS120G175P1SYJB6HVMN","Amharic Language",True
1689,"KS120M16XCSQRBQ5ZH6D","Arabic Language",True
16151,"KS125SW6PQ1VXZX2T779","Levantine Arabic",True
17005,"KS1262T7970D9XWWZH3G","Maghrebi Arabic",True
21059,"KS127JT5Z8ZFJ4PVN6D9","Palestinian Arabic",True
1771,"ESD9586DAE537548103C","Armenian Language",True
1878,"KS7G7ZR69PD607GXR8M7","Assamese",True
2363,"KS120TJ74DM1C3Y0T51N","Awadhi Language",True
2375,"KS7G7567255M17THN96T","Aymara (Language)",True
2378,"ESF83726CD2A1792624B","Azerbaijani Language",True
2547,"KS120WH6FCHMT510L0PS","Bambara Language",True
2721,"KS120Z7759DPZS4K1YYS","Belarusian Language (Languages Of Belarus)",True
2723,"KS120Z873ZQPLWDGC4T5","Bemba Language (Bemba)",True
2760,"KS120ZX6W25LQ7RN05DC","Bhojpuri Language",True
4132,"KS121036GWLRRWSFLNJB","Central Bikol Languages",True
3177,"ES64AFEC5D5B2FE7B288","Bosnian Language",True
4026,"KS7G54P624F5TR06YLVH","Catalan (Language)",True
4075,"KS121JB78RY2N09166NC","Cebuano Language",True
5024,"KS7G0VB714DVTM4G01D8","Chamorro (Language)",True
5103,"ESB9937689E2465BBF86","Chechen Language",True
3838,"KS121CJ70B6S39XK1LMP","Cantonese Chinese",True
6954,"KS122JC758LZ1W50SJDH","Croatian Language",True
25472,"ES38F702913BD2C04E93","Serbo-Croatian Language",True
7224,"ESC995F0E6C4EA94DF23","Czech Language",True
7370,"KS122NB6VSLJ3R5FMC90","Danish Language",True
7373,"KS7G698788B2TVDZ5MD3","Dari (Language)",True
7374,"KS122NF633KF31NGFC8R","Darija",True
17149,"KS121VZ6GVLJQKQQS4YB","Mandarin Chinese",True
8106,"KS7G82074R1TR8B5B9L0","Dhivehi (Language)",True
8334,"KS7G7516792Z6B026DVJ","Dinka (Language)",True
8675,"KS1233T6LMH3MVYP01P5","Dogri Language",True
8901,"KS1237R60KJFP8VZ30JF","Dutch Language",True
8969,"KS1238G778GMF9HK9BHT","Dzongkha",True
9774,"KS123K75YYK8VGH90NCS","English Language",True
25833,"KS440FG6X4ZJXS1H564L","Signing Exact English",True
25886,"KS1209261Q307236HR65","Simplified Technical English",True
10037,"KS123N7650XQMRRQZ872","Esperanto Language",True
10056,"ES4C22D4DCB5B0447DEB","Estonian Language",True
